Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
"""O Calipolense"" Clube Desportivo de Vila Viçosa",Évora,Vila Viçosa,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,88,0
"""O Calipolense"" Clube Desportivo de Vila Viçosa",Évora,Vila Viçosa,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,32,0
"""O Elvas"" Clube Alentejano de Desportos",Portalegre,Elvas,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,29,2
"""O Elvas"" Clube Alentejano de Desportos",Portalegre,Elvas,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,105,0
"""O Elvas"" Clube Alentejano de Desportos",Portalegre,Elvas,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,122,0
"""Os Galfarritos"" Academia de Futebol",Viseu,Tondela,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,56,1
"""Os Independentes"" Futsal Associação",Setúbal,Sines,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,0
.COM - Clube de Orientação do Minho,Braga,Braga,Orientação_Orientação,Orientação,Orientação,2012 / 2013,65,39
100 % TT Núcleo de Cicloturismo de Alpiarça,Santarém,Alpiarça,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,36,0
100 Conceitos Unipessoal Lda.,Leiria,Leiria,Equestre_Equestre,Equestre,Equestre,2012 / 2013,7,11
100 Trilhos - Clube BTT de Castro Verde,Beja,Castro Verde,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,4,0
1º de Maio Futebol Clube Sarilhense,Setúbal,Moita,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,31,0
1º de Maio Futebol Clube Sarilhense,Setúbal,Moita,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,45,0
1º Jardim Escola João de Deus,Coimbra,Coimbra,Judo_Judo,Judo,Judo,2012 / 2013,43,9
2010 Odisseia Basket Clube,Lisboa,Lisboa,Basquetebol_Basquetebol,Basquetebol,Basquetebol,2012 / 2013,55,6
2º Jardim Escola João de Deus,Coimbra,Coimbra,Judo_Judo,Judo,Judo,2012 / 2013,26,9
3 A - Associação de Andebol de Almeirim,Santarém,Almeirim,Andebol_Andebol,Andebol,Andebol,2012 / 2013,45,27
A Fontes - Renault,Aveiro,Oliveira de Azeméis,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,5,0
A Perdiz - Associação Escola de Tiro Desportivo,Beja,Serpa,Tiro com Armas de Caça_Tiro com Armas de Caça,Tiro com Armas de Caça,Tiro com Armas de Caça,2012 / 2013,19,0
A Portuguesa de Leça Futebol Clube,Porto,Matosinhos,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,6,0
A Portuguesa de Leça Futebol Clube,Porto,Matosinhos,Pesca Desportiva_Pesca Desportiva,Pesca Desportiva,Pesca Desportiva,2012 / 2013,8,0
A R J - Bike Team,Porto,Marco de Canaveses,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,9,0
A Turma dos Judokinhas - Associação Desportiva,Lisboa,Sintra,Judo_Judo,Judo,Judo,2012 / 2013,114,36
AB Rafik Hacamo,Lisboa,Odivelas,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,12,0
Abambres Sport Clube,Vila Real,Vila Real,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,113,0
Abambres Sport Clube,Vila Real,Vila Real,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,77,0
ABC de Braga - Andebol SAD,Braga,Braga,Andebol_Andebol,Andebol,Andebol,2012 / 2013,189,1
Abrantes Rugby Clube,Santarém,Abrantes,Rugby_Rugby,Rugby,Rugby,2012 / 2013,18,0
Academia - Associação Desportiva Caranguejeira,Leiria,Leiria,Futebol_Futsal,Futebol,Futsal,2012 / 2013,34,16
Academia 3 de Junho - Escola Profissional Agostinho Silva,Lisboa,Sintra,Ténis de Mesa_Ténis de Mesa,Ténis de Mesa,Ténis de Mesa,2012 / 2013,6,0
Academia 7 'Eight,Porto,Gondomar,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,17,4
Academia 77,Porto,Porto,Boxe_Boxe,Boxe,Boxe,2012 / 2013,1,0
Academia Art & Dança - Ideias aos Pulos Lda.,Lisboa,Alenquer,Ginástica_Ginástica Fitness,Ginástica,Ginástica Fitness,2012 / 2013,2,12
Academia Best Club,Porto,Vila Nova de Gaia,Taekwondo_Taekwondo,Taekwondo,Taekwondo,2012 / 2013,3,0
Academia CantanhedeGym,Coimbra,Cantanhede,Ginástica_Ginástica Aeróbica,Ginástica,Ginástica Aeróbica,2012 / 2013,10,68
Academia CantanhedeGym,Coimbra,Cantanhede,Ginástica_Ginástica Artística,Ginástica,Ginástica Artística,2012 / 2013,9,60
Academia CantanhedeGym,Coimbra,Cantanhede,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,70
Academia Clube Desportivo de Corroios,Setúbal,Seixal,Futebol_Futebol 7,Futebol,Futebol 7,s/d,0,0
Academia da Força Aérea,Lisboa,Sintra,FADU_FADU,FADU,FADU,2012 / 2013,25,5
Academia de Artes Marciais do Guadiana,Faro,Vila Real Santo António,Judo_Judo,Judo,Judo,2012 / 2013,12,7
Academia de Atletismo do Seixal,Setúbal,Seixal,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,19,9
Academia de Badminton Tetrapi,Açores,Ponta Delgada,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,8,0
Academia de Bilhar de Gondivai,Porto,Matosinhos,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,8,0
Academia de Bilhar de Salão de Jogos JJJ,Madeira,Santa Cruz,Bilhar_Bilhar,Bilhar,Bilhar,2012 / 2013,16,0
Academia de Boxe da Maia,Porto,Maia,Boxe_Boxe,Boxe,Boxe,2012 / 2013,3,0
Academia de Bridge de Lisboa,Lisboa,Lisboa,Bridge_Bridge,Bridge,Bridge,2012 / 2013,16,22
Academia de Esgrima João Gomes,Lisboa,Amadora,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,28,13
